channelKey,year,month,uploads_count_Normal,uploads_count_Short,views_total_Normal,views_total_Short,likes_total_Normal,likes_total_Short,comments_total_Normal,comments_total_Short,likes_per_1k_views_Normal,likes_per_1k_views_Short,comments_per_1k_views_Normal,comments_per_1k_views_Short,engagement_per_1k_views_Normal,engagement_per_1k_views_Short,avg_views_per_video_Normal,avg_views_per_video_Short,avg_duration_seconds_Normal,avg_duration_seconds_Short,views_mom_pct_Normal,views_mom_pct_Short,uploads_share_within_channel_month_Normal,uploads_share_within_channel_month_Short,views_share_within_channel_month_Normal,views_share_within_channel_month_Short,likes_per_1k_views_short_minus_normal,likes_per_1k_views_short_div_normal,comments_per_1k_views_short_minus_normal,comments_per_1k_views_short_div_normal,engagement_per_1k_views_short_minus_normal,engagement_per_1k_views_short_div_normal,avg_views_per_video_short_minus_normal,avg_views_per_video_short_div_normal
@HouseofHighlights,2024,2024-07,11.0,62.0,3565561.0,163164830.0,29411.0,7573185.0,5744.0,45671.0,8.25,46.41,1.61,0.28,9.86,46.69,324141.91,2631690.81,1860.09,23.37,6.9312,-0.3468,0.1507,0.8493,0.0214,0.9786,38.16,5.625,-1.33,0.174,36.83,4.735,2307548.9,8.119
@HouseofHighlights,2024,2024-08,16.0,37.0,7429479.0,334979573.0,27676.0,11228918.0,2068.0,71440.0,3.73,33.52,0.28,0.21,4.0,33.73,464342.44,9053501.97,692.5,24.89,1.0837,1.053,0.3019,0.6981,0.0217,0.9783,29.79,8.987,-0.07,0.75,29.73,8.432,8589159.53,19.497
@HouseofHighlights,2024,2024-09,,19.0,,67682953.0,,3377718.0,,35303.0,,49.91,,0.52,,50.43,,3562260.68,,20.63,,-0.7979,,1.0,,1.0,,,,,,,,
@HouseofHighlights,2024,2024-10,7.0,27.0,327618.0,76775047.0,4848.0,3104092.0,608.0,18362.0,14.8,40.43,1.86,0.24,16.65,40.67,46802.57,2843520.26,637.71,25.96,-0.9559,0.1343,0.2059,0.7941,0.0042,0.9958,25.63,2.732,-1.62,0.129,24.02,2.443,2796717.69,60.756
@HouseofHighlights,2024,2024-11,8.0,39.0,1892971.0,78677213.0,14472.0,3643016.0,2232.0,35337.0,7.65,46.3,1.18,0.45,8.82,46.75,236621.38,2017364.44,503.62,37.72,4.778,0.0248,0.1702,0.8298,0.0235,0.9765,38.65,6.052,-0.73,0.381,37.93,5.3,1780743.06,8.526
@HouseofHighlights,2024,2024-12,9.0,31.0,804863.0,137965703.0,7634.0,5445391.0,1335.0,25667.0,9.48,39.47,1.66,0.19,11.14,39.66,89429.22,4450506.55,1214.11,31.71,-0.5748,0.7536,0.225,0.775,0.0058,0.9942,29.99,4.164,-1.47,0.114,28.52,3.56,4361077.33,49.766
@NBA,2024,2024-01,490.0,172.0,127249595.0,65494633.0,1331796.0,2289378.0,164347.0,28308.0,10.47,34.96,1.29,0.43,11.76,35.39,259693.05,380782.75,1424.3,22.51,,,0.7402,0.2598,0.6602,0.3398,24.49,3.339,-0.86,0.333,23.63,3.009,121089.7,1.466
@NBA,2024,2024-02,424.0,263.0,110776794.0,37834173.0,1294697.0,1652311.0,139441.0,28945.0,11.69,43.67,1.26,0.77,12.95,44.44,261266.02,143856.17,1440.82,24.31,-0.1295,-0.4223,0.6172,0.3828,0.7454,0.2546,31.98,3.736,-0.49,0.611,31.49,3.432,-117409.85,0.551
@NBA,2024,2024-03,464.0,135.0,106037825.0,34915435.0,1178102.0,1305883.0,139740.0,19964.0,11.11,37.4,1.32,0.57,12.43,37.97,228529.8,258632.85,1528.1,21.33,-0.0428,-0.0771,0.7746,0.2254,0.7523,0.2477,26.29,3.366,-0.75,0.432,25.54,3.055,30103.05,1.132
@NBA,2024,2024-04,408.0,171.0,130873566.0,14584245.0,1289835.0,674547.0,169683.0,17560.0,9.86,46.25,1.3,1.2,11.15,47.46,320768.54,85287.98,1931.52,27.46,0.2342,-0.5823,0.7047,0.2953,0.8997,0.1003,36.39,4.691,-0.1,0.923,36.31,4.257,-235480.56,0.266
